reward
21.351219512195122
29.30246913580247
47.09
63.04
86.77
118.1
134.48
169.88
200.62
213.97
233.53
256.54
270.16
297.65
321.35
342.3
348.82
359.73
366.68
376.06
389.38
406.04
409.91
414.81
435.73
449.7
455.45
465.66
482.2
483.98
475.28
468.55
471.41
471.56
474.02
475.22
476.65
475.51
459.3
460.44
453.73
416.92
374.07
355.35
339.48
349.95
357.98
362.32
362.51
356.76
